Date ,Ambient Temperature,wind_speed_10m (km/h),wind_speed_100m (km/h),Solar Radiation
2020-01-01T00:00,12,7.6,9.5,0
2020-01-01T01:00,12.2,6,14,0
2020-01-01T02:00,11.9,7.1,13.1,0
2020-01-01T03:00,12.2,6.4,15,0
2020-01-01T04:00,12.3,6.8,15.3,0
2020-01-01T05:00,11.8,6.8,15,0
2020-01-01T06:00,13.3,5.4,11.6,14
2020-01-01T07:00,14.5,9.1,12,93
2020-01-01T08:00,14.4,11.5,14.4,138
2020-01-01T09:00,15.7,13.7,17.3,202
2020-01-01T10:00,15.5,16.9,21.2,274
2020-01-01T11:00,15.8,16.5,20.8,259
2020-01-01T12:00,15.8,16.5,21.1,257
2020-01-01T13:00,15.9,16.9,21.6,167
2020-01-01T14:00,14.7,15.6,21.1,99
2020-01-01T15:00,13.6,8.6,16.4,23
2020-01-01T16:00,12.8,6.9,16.2,0
2020-01-01T17:00,12.2,7.6,17.1,0
2020-01-01T18:00,11.8,7.2,15.6,0
2020-01-01T19:00,11.4,8.1,14.5,0
2020-01-01T20:00,11,7.8,13.7,0
2020-01-01T21:00,10.6,6.9,15.6,0
2020-01-01T22:00,10.2,7.1,17.3,0
2020-01-01T23:00,10.9,10.8,23.9,0
2020-01-02T00:00,12.6,15.9,30.1,0
2020-01-02T01:00,12.5,15,28.1,0
2020-01-02T02:00,12,16.4,28.5,0
2020-01-02T03:00,12.7,15.5,26.4,0
2020-01-02T04:00,12.9,20.6,32.6,0
2020-01-02T05:00,12.4,23,36.2,0
2020-01-02T06:00,11.7,19.9,31.2,1
2020-01-02T07:00,11.7,21,30.8,53
2020-01-02T08:00,12.7,24.5,32.9,125
2020-01-02T09:00,13.4,24.5,32.2,245
2020-01-02T10:00,14.1,25.4,33.3,261
2020-01-02T11:00,14.2,26.5,35.2,129
2020-01-02T12:00,15,26.8,35.8,318
2020-01-02T13:00,15.3,26.1,35.3,176
2020-01-02T14:00,15,23.8,33.8,102
2020-01-02T15:00,14.1,19.1,31.1,24
2020-01-02T16:00,13.8,22.2,35.9,0
2020-01-02T17:00,12.7,25.1,38.3,0
2020-01-02T18:00,12.3,28.2,42.6,0
2020-01-02T19:00,11.9,23.4,36.5,0
2020-01-02T20:00,11.8,24.9,38.2,0
2020-01-02T21:00,11.8,22.6,35.9,0
2020-01-02T22:00,11.9,21.8,35.3,0
2020-01-02T23:00,11.4,25.1,39.1,0
2020-01-03T00:00,11.3,15.8,26.9,0
2020-01-03T01:00,11.1,19.3,32.6,0
2020-01-03T02:00,11.2,25.3,39.8,0
2020-01-03T03:00,10.8,25.5,40.3,0
2020-01-03T04:00,10.3,25.7,40.7,0
2020-01-03T05:00,9.4,25.8,41.1,0
2020-01-03T06:00,9.2,28.3,42,24
2020-01-03T07:00,9.9,29.8,41.2,135
2020-01-03T08:00,10.9,32.4,43.5,271
2020-01-03T09:00,11.9,36.1,48.6,352
2020-01-03T10:00,12.6,39.5,53.4,325
2020-01-03T11:00,13.3,39,53,315
2020-01-03T12:00,12.5,38.4,54,150
2020-01-03T13:00,12.4,34.8,49.7,106
2020-01-03T14:00,12.6,29.7,43.2,43
2020-01-03T15:00,12,31,46,21
2020-01-03T16:00,11.8,29.5,45.1,0
2020-01-03T17:00,12,26.7,41.4,0
2020-01-03T18:00,11.9,22,35.4,0
2020-01-03T19:00,12.1,26.8,40.2,0
2020-01-03T20:00,12.1,26.4,40.2,0
2020-01-03T21:00,12.5,29.3,43.8,0
2020-01-03T22:00,12.6,28.5,43.2,0
2020-01-03T23:00,13.1,30.3,45.8,0
2020-01-04T00:00,13.5,26.3,42.4,0
2020-01-04T01:00,13.6,24.1,38.1,0
2020-01-04T02:00,13.3,24.2,38,0
2020-01-04T03:00,12.9,24.7,38.9,0
2020-01-04T04:00,12.8,22,35,0
2020-01-04T05:00,12.5,17.7,29.6,0
2020-01-04T06:00,13,16.4,26.4,13
2020-01-04T07:00,13.8,17.3,25.2,60
2020-01-04T08:00,14.2,19.5,25.3,112
2020-01-04T09:00,14.9,20.5,26.6,155
2020-01-04T10:00,14.1,22.4,30.4,113
2020-01-04T11:00,14.1,25,33.3,149
2020-01-04T12:00,14.1,22.4,30.3,176
2020-01-04T13:00,14.6,23.8,32.1,194
2020-01-04T14:00,14.3,20.5,29.2,86
2020-01-04T15:00,12.8,18.8,29.5,24
2020-01-04T16:00,13,15.1,25.9,0
2020-01-04T17:00,12.7,16.5,27.9,0
2020-01-04T18:00,12.4,19,31.3,0
2020-01-04T19:00,12.7,16.6,28.4,0
2020-01-04T20:00,12.3,16.2,27.7,0
2020-01-04T21:00,11.9,19,31.3,0
2020-01-04T22:00,12.5,17.4,29.8,0
2020-01-04T23:00,12.5,17.9,30.3,0
2020-01-05T00:00,12.5,13.8,25,0
2020-01-05T01:00,12.3,15.9,27.6,0
2020-01-05T02:00,12.3,16.1,28.6,0
2020-01-05T03:00,12.2,17.2,30,0
2020-01-05T04:00,11.2,19.7,32.6,0
2020-01-05T05:00,11.3,16.9,30,0
2020-01-05T06:00,11.5,20.5,32.8,14
2020-01-05T07:00,12.1,19.2,30.6,65
2020-01-05T08:00,13.3,20.1,27.3,148
2020-01-05T09:00,14.3,22.2,29.6,187
2020-01-05T10:00,14.9,23.1,30.5,232
2020-01-05T11:00,15.7,24,31.7,266
2020-01-05T12:00,16.1,23.2,31.6,245
2020-01-05T13:00,16.1,23.5,32.4,170
2020-01-05T14:00,15.9,19.5,29.3,57
2020-01-05T15:00,15.2,18.5,29.9,10
2020-01-05T16:00,14.7,16.9,28.7,0
2020-01-05T17:00,14.2,16.3,28.5,0
2020-01-05T18:00,13.6,15.1,28,0
2020-01-05T19:00,13.5,20.5,34.8,0
2020-01-05T20:00,12.8,20.2,35.2,0
2020-01-05T21:00,12.2,19.5,35.6,0
2020-01-05T22:00,11.5,19.5,36.2,0
2020-01-05T23:00,11.3,21.1,37.5,0
2020-01-06T00:00,11.9,21.4,37.3,0
2020-01-06T01:00,11.4,21.9,38.3,0
2020-01-06T02:00,10.9,23.2,39.8,0
2020-01-06T03:00,10.7,24.2,40.4,0
2020-01-06T04:00,10.6,24.5,40.5,0
2020-01-06T05:00,10.8,25.1,41.1,0
2020-01-06T06:00,11.4,25.3,39.9,15
2020-01-06T07:00,12.4,25.2,36.6,92
2020-01-06T08:00,14.1,29.3,40.9,201
2020-01-06T09:00,15.3,30.9,42.9,296
2020-01-06T10:00,16.3,34.2,47.1,401
2020-01-06T11:00,16.8,36.9,51,440
2020-01-06T12:00,16.9,37,51.8,407
2020-01-06T13:00,16.9,34.4,49.2,316
2020-01-06T14:00,16.3,33.9,50.7,128
2020-01-06T15:00,15.4,31.8,48.1,9
2020-01-06T16:00,14.4,30.8,46,0
2020-01-06T17:00,13.6,32.1,48.2,0
2020-01-06T18:00,12.9,28.3,43.3,0
2020-01-06T19:00,12,28,43.6,0
2020-01-06T20:00,11.9,29.3,44.1,0
2020-01-06T21:00,11.8,29,44,0
2020-01-06T22:00,11.6,28.5,43.5,0
2020-01-06T23:00,11.4,28.3,43.3,0
2020-01-07T00:00,11.7,28.3,43.7,0
2020-01-07T01:00,11.3,27.8,43.1,0
2020-01-07T02:00,10.4,25.9,41.1,0
2020-01-07T03:00,9.9,25.4,40.7,0
2020-01-07T04:00,9.5,26.2,41.8,0
2020-01-07T05:00,9.1,26.9,42.7,0
2020-01-07T06:00,9.4,28.1,44.3,22
2020-01-07T07:00,10.3,30.2,42.4,131
2020-01-07T08:00,11.4,33.3,45.3,270
2020-01-07T09:00,12.2,35.6,48.2,376
2020-01-07T10:00,12.9,36.2,48.8,448
2020-01-07T11:00,13.3,39.9,54.1,458
2020-01-07T12:00,13.4,39.7,54.5,290
2020-01-07T13:00,13.7,37.8,53,173
2020-01-07T14:00,13.7,36.4,52.7,101
2020-01-07T15:00,12.7,38.3,56.1,25
2020-01-07T16:00,13.1,39,57.8,0
2020-01-07T17:00,12.4,38.6,57.2,0
2020-01-07T18:00,12.1,36,53.3,0
2020-01-07T19:00,12.3,37.2,54.8,0
2020-01-07T20:00,12,40.8,59.5,0
2020-01-07T21:00,12,36.8,54.5,0
2020-01-07T22:00,11.8,38.8,57.8,0
2020-01-07T23:00,12.1,39.6,58.7,0
2020-01-08T00:00,12.1,35.3,53.6,0
2020-01-08T01:00,12.1,37.4,55.8,0
2020-01-08T02:00,12,38.6,57.3,0
2020-01-08T03:00,12.5,38.9,57.6,0
2020-01-08T04:00,12.2,37.1,54.4,0
2020-01-08T05:00,13.2,31.6,48,0
2020-01-08T06:00,13.1,30.9,46,9
2020-01-08T07:00,14,29.1,42.1,70
2020-01-08T08:00,14.7,27.4,38.3,146
2020-01-08T09:00,14.2,30.6,41.6,224
2020-01-08T10:00,13.3,32.1,44,148
2020-01-08T11:00,12.9,29.5,40.4,124
2020-01-08T12:00,14.4,26.8,38.1,202
2020-01-08T13:00,14.1,27.3,37.6,183
2020-01-08T14:00,13.6,25,36.3,90
2020-01-08T15:00,13.1,21,33.1,24
2020-01-08T16:00,12.5,18.4,30.5,0
2020-01-08T17:00,12.4,18.4,29.9,0
2020-01-08T18:00,12.3,17.4,29.1,0
2020-01-08T19:00,12.4,19.2,31.3,0
2020-01-08T20:00,12.6,17.4,29,0
2020-01-08T21:00,12.2,21.7,33.6,0
2020-01-08T22:00,12,20.7,32.4,0
2020-01-08T23:00,11.9,20.9,31.8,0
2020-01-09T00:00,12.1,17.4,29.2,0
2020-01-09T01:00,11.9,21.5,33.7,0
2020-01-09T02:00,11.7,19,30.6,0
2020-01-09T03:00,11.1,22.9,35.1,0
2020-01-09T04:00,11.1,17.4,28.9,0
2020-01-09T05:00,11.3,18.4,30.4,0
2020-01-09T06:00,12.1,20.3,31,14
2020-01-09T07:00,12.8,21.4,30.2,55
