LANDUSE_TYPE,USER,PIPE DIAM,VENDOR,JAN16,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,197,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,24,24,24,24,1,17,0,14,0,1,1,0,1,1,2,0,0,0,0,2,1,2,1,7,7,42,27,22,21
H3,DOMESTICO RESIDENCIAL,0.5,,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24,24,24,24,24,24,24,24,24,23,23,0,72,27,27,42,30,0,31,27,27,27,28,28,31,27,27,27,24
H3,DOMESTICO MEDIO,0.5,,,20,20,20,20,20,20,20,17,14,10,11,9,15,10,11,19,22,30,17,32,25,22,21,22,28,40,26,11,28,30,38,24,38,21,18,20,18,19,15,18,17,17,17,16,16,16,16,15,16,15,15,15,0,12,11,57,18,18,19,21,0,21,20,23,19,15,13,22,17,30,19,12,18,18,19,19,18,18,19,19,19,18,18,24
H3,DOMESTICO RESIDENCIAL,0.5,,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19,44,40,35,43,35,44,36,34,34,31,35,29,32,31,31,30,30,30,30,30,29,30,29,29,0,24,23,21,20,19,17,20,19,19,18,17,18,17,17,17,17,17,16,16,16,16,15,17,17,17,17,17,17,17,17,17,24
H3,DOMESTICO RESIDENCIAL,0.5,CICASA MMD-15 S,702,30,10,30,20,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,29,7,18,20,23,15,19,15,15,15,7,8,11,10,11,14,18,18,13,9,9,4,1,6,1,1,9,9,2,1,3,14,4,0,1,1,1,1,6,8,8,10,10,9,11,8,10,8,14,15,26,27,29,22,27,26,33,32
H3,DOMESTICO RESIDENCIAL,0.5,CICASA MMD-15 S,271,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,10,10,10,10,10,10,10,10,20,20,4,1,4,2,3,5,3,2,3,2,2,2,2,2,2,1,1,1,1,1,1,0,0,10,0,10,9,18,11,18,19,9,5,2,10,0,7,7,7,6,19,8,6,2,1,6,0,0,0,7,7,8,5,7,16,7,7,4
H3,DOMESTICO RESIDENCIAL,0.5,,,19,21,21,22,26,20,23,21,18,10,19,6,15,14,7,14,11,12,12,11,14,11,9,9,11,6,9,0,4,7,6,0,11,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,2,2,3,3,4,3,2,2,2,2,3,3,3,3,3,3,3,3,3,24
H3,DOMESTICO MEDIO,0.5,CICASA MMD-15 S,486,9,12,13,13,22,21,19,20,22,18,15,12,17,16,16,15,14,15,15,15,14,14,14,14,14,13,13,13,13,13,13,12,12,12,12,12,10,9,10,9,8,8,8,8,8,7,6,6,10,0,11,10,18,18,19,25,28,24,25,12,13,16,12,20,13,28,23,23,30,16,26,12,16,16,14,25,17,36,34,39,52,33,27,27
H3,DOMESTICO MEDIO,0.5,CICASA MMD-15 S,199,14,14,14,14,14,14,14,14,14,14,14,2,11,11,11,0,0,0,5,14,4,3,4,4,5,5,4,4,4,4,4,4,4,3,3,3,0,12,3,4,3,4,3,3,5,3,2,1,5,2,1,2,2,2,2,3,2,4,2,2,3,2,0,2,5,3,3,12,1,12,12,1,10,3,7,5,6,3,6,5,5,5,4,5
H3,DOMESTICO RESIDENCIAL,0.5,CICASA MMD-15 S,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19,0,85,16,26,27,29,29,0,0,17,0,12,0,6,5,6,4,5,4,5,4,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1
